OpCode,MaxN,Family,Genus,Species
FP_201_ASH015,2,Carangidae,Carangoides,oblongus
FP_201_ASH015,9,Carangidae,Caranx,melampygus
FP_201_ASH015,3,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH015,1,Carcharhinidae,Carcharhinus,melanopterus
FP_201_ASH015,1,Carcharhinidae,Triaenodon,obesus
FP_201_ASH015,1,Echeneidae,Echeneis,naucrates
FP_201_ASH015,1,Lethrinidae,Lethrinus,microdon
FP_201_ASH015,1,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH015,1,Lutjanidae,Lutjanus,bohar
FP_201_ASH015,1,Lutjanidae,Lutjanus,gibbus
FP_201_ASH015,1,Serranidae,Aethaloperca,rogaa
FP_201_ASH015,1,Serranidae,Variola,albimarginata
FP_201_ASH002,2,Carangidae,Carangoides,ferdau
FP_201_ASH002,5,Carangidae,Carangoides,orthogrammus
FP_201_ASH002,1,Carangidae,Carangoides,plagiotaenia
FP_201_ASH002,19,Carangidae,Caranx,melampygus
FP_201_ASH002,1,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH002,1,Lethrinidae,Lethrinus,amboinensis
FP_201_ASH002,3,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH002,3,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH002,1,Lutjanidae,Aprion,virescens
FP_201_ASH003,1,Carangidae,Carangoides,ferdau
FP_201_ASH003,1,Carangidae,Caranx,melampygus
FP_201_ASH003,1,Echeneidae,Echeneis,naucrates
FP_201_ASH003,2,Lethrinidae,Gymnocranius,grandoculis
FP_201_ASH003,2,Lethrinidae,Lethrinus,microdon
FP_201_ASH003,1,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH003,3,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH003,1,Lutjanidae,Aprion,virescens
FP_201_ASH004,1,Balistidae,Abalistes,stellatus
FP_201_ASH004,2,Balistidae,Sufflamen,fraenatum
FP_201_ASH004,1,Carangidae,Carangoides,caeruleopinnatus
FP_201_ASH004,2,Carangidae,Carangoides,orthogrammus
FP_201_ASH004,1,Carangidae,Carangoides,plagiotaenia
FP_201_ASH004,4,Carangidae,Caranx,melampygus
FP_201_ASH004,1,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH004,1,Lethrinidae,Lethrinus,amboinensis
FP_201_ASH004,1,Lethrinidae,Lethrinus,nebulosus
FP_201_ASH004,2,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH004,1,Lethrinidae,Lethrinus,ravus
FP_201_ASH004,3,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH004,1,Lethrinidae,Lethrinus,semicinctus
FP_201_ASH004,1,Lutjanidae,Aprion,virescens
FP_201_ASH004,1,Myliobatidae,Aetobatus,narinari
FP_201_ASH004,2,Nemipteridae,Pentapodus,emeryii
FP_201_ASH004,1,Rhynchobatidae,Rhynchobatus,laevis
FP_201_ASH029,1,Carangidae,Caranx,melampygus
FP_201_ASH029,2,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH029,1,Carcharhinidae,Triaenodon,obesus
FP_201_ASH029,1,Cheloniidae,,sp
FP_201_ASH029,3,Lethrinidae,Lethrinus,xanthochilus
FP_201_ASH029,1,Lutjanidae,Aprion,virescens
FP_201_ASH029,1,Lutjanidae,Lutjanus,bohar
FP_201_ASH029,2,Lutjanidae,Lutjanus,decussatus
FP_201_ASH029,2,Lutjanidae,Lutjanus,gibbus
FP_201_ASH029,1,Muraenidae,Gymnothorax,fimbriatus
FP_201_ASH029,1,Serranidae,,sp
FP_201_ASH029,1,Serranidae,Variola,albimarginata
FP_201_ASH022,1,Carangidae,Caranx,melampygus
FP_201_ASH022,2,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH022,1,Carcharhinidae,Triaenodon,obesus
FP_201_ASH022,2,Lethrinidae,Lethrinus,atkinsoni
FP_201_ASH022,1,Lethrinidae,Lethrinus,xanthochilus
FP_201_ASH022,2,Lutjanidae,Lutjanus,bohar
FP_201_ASH022,8,Lutjanidae,Lutjanus,gibbus
FP_201_ASH022,3,Lutjanidae,Macolor,macularis
FP_201_ASH022,2,Serranidae,Cephalopholis,argus
FP_201_ASH022,2,Serranidae,Cephalopholis,urodeta
FP_201_ASH022,2,Serranidae,Variola,louti
FP_201_ASH023,2,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH023,1,Carcharhinidae,Triaenodon,obesus
FP_201_ASH025,1,Carangidae,Carangoides,plagiotaenia
FP_201_ASH025,1,Carangidae,Caranx,melampygus
FP_201_ASH025,1,Lutjanidae,Aprion,virescens
FP_201_ASH025,1,Lutjanidae,Lutjanus,bohar
FP_201_ASH025,1,Lutjanidae,Lutjanus,rivulatus
FP_201_ASH025,1,Rhynchobatidae,Rhynchobatus,laevis
FP_201_ASH025,1,Serranidae,Plectropomus,laevis
FP_201_ASH025,1,Serranidae,Variola,albimarginata
FP_201_ASH012,1,Carangidae,Carangoides,plagiotaenia
FP_201_ASH012,3,Carangidae,Caranx,melampygus
FP_201_ASH012,4,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH012,1,Carcharhinidae,Triaenodon,obesus
FP_201_ASH012,10,Lethrinidae,Gymnocranius,grandoculis
FP_201_ASH012,1,Lethrinidae,Lethrinus,microdon
FP_201_ASH012,3,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH012,4,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH013,1,,,
FP_201_ASH013,2,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH013,1,Cheloniidae,Chelonia,mydas
FP_201_ASH013,30,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH013,1,Lutjanidae,Aprion,virescens
FP_201_ASH013,1,Sphyraenidae,Sphyraena,barracuda
FP_201_ASH014,1,Carangidae,Carangoides,caeruleopinnatus
FP_201_ASH014,2,Echeneidae,Echeneis,naucrates
FP_201_ASH014,1,Lutjanidae,Aprion,virescens
FP_201_ASH014,2,Rhynchobatidae,Rhynchobatus,laevis
FP_201_ASH017,2,Carangidae,Caranx,melampygus
FP_201_ASH017,3,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH017,1,Echeneidae,Echeneis,naucrates
FP_201_ASH017,1,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH017,3,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH017,1,Lutjanidae,Aprion,virescens
FP_201_ASH017,2,Lutjanidae,Lutjanus,bohar
FP_201_ASH017,2,Serranidae,Variola,albimarginata
FP_201_ASH006,1,Carangidae,Carangoides,caeruleopinnatus
FP_201_ASH006,1,Carangidae,Carangoides,orthogrammus
FP_201_ASH006,1,Carangidae,Caranx,melampygus
FP_201_ASH006,1,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH006,1,Congridae,Gorgasia,
FP_201_ASH006,1,Dasyatidae,Dasyatis,kuhlii
FP_201_ASH006,2,Echeneidae,Echeneis,naucrates
FP_201_ASH006,1,Lethrinidae,Gymnocranius,sp
FP_201_ASH006,2,Lethrinidae,Lethrinus,amboinensis
FP_201_ASH006,2,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH006,3,Lethrinidae,Lethrinus,ravus
FP_201_ASH006,1,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH006,2,Nemipteridae,Pentapodus,emeryii
FP_201_ASH006,1,Rachycentridae,Rachycentron,canadum
FP_201_ASH006,1,Rhinidae,Rhynchobatus,
FP_201_ASH006,2,Scombridae,Gymnosarda,unicolor
FP_201_ASH007,1,Carangidae,Caranx,melampygus
FP_201_ASH007,2,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH007,1,Cheloniidae,Chelonia,mydas
FP_201_ASH007,2,Lethrinidae,Lethrinus,amboinensis
FP_201_ASH007,1,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH007,3,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH007,1,Lutjanidae,Aprion,virescens
FP_201_ASH007,2,Lutjanidae,Lutjanus,decussatus
FP_201_ASH007,3,Nemipteridae,Pentapodus,emeryii
FP_201_ASH007,1,Serranidae,Variola,louti
FP_201_ASH041,1,Carangidae,Caranx,melampygus
FP_201_ASH041,1,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH041,1,Dasyatidae,Dasyatis,sp
FP_201_ASH041,2,Lethrinidae,Lethrinus,amboinensis
FP_201_ASH041,12,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH041,1,Lutjanidae,Aprion,virescens
FP_201_ASH041,1,Lutjanidae,Lutjanus,bohar
FP_201_ASH032,1,Carangidae,Caranx,ignobilis
FP_201_ASH032,4,Carangidae,Caranx,melampygus
FP_201_ASH032,1,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH032,1,Dasyatidae,Dasyatis,kuhlii
FP_201_ASH032,1,Dasyatidae,Himantura,fai
FP_201_ASH032,3,Lethrinidae,Lethrinus,microdon
FP_201_ASH032,4,Lethrinidae,Lethrinus,ravus
FP_201_ASH032,5,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH032,1,Lethrinidae,Lethrinus,xanthochilus
FP_201_ASH032,1,Lutjanidae,Lutjanus,bohar
FP_201_ASH032,3,Scombridae,Scomberomorus,commerson
FP_201_ASH032,3,Serranidae,Variola,albimarginata
FP_201_ASH033,2,Carangidae,Carangoides,ferdau
FP_201_ASH033,1,Carangidae,Caranx,ignobilis
FP_201_ASH033,1,Carangidae,Caranx,melampygus
FP_201_ASH033,2,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH033,1,Echeneidae,Echeneis,naucrates
FP_201_ASH033,1,Lethrinidae,Gymnocranius,grandoculis
FP_201_ASH033,3,Lethrinidae,Lethrinus,amboinensis
FP_201_ASH033,1,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH033,3,Lethrinidae,Lethrinus,ravus
FP_201_ASH033,9,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH033,1,Lutjanidae,Aprion,virescens
FP_201_ASH033,1,Scombridae,Scomberomorus,commerson
FP_201_ASH026,1,Carangidae,Carangoides,caeruleopinnatus
FP_201_ASH026,3,Carangidae,Carangoides,orthogrammus
FP_201_ASH026,4,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH026,1,Dasyatidae,Pastinachus,sephen
FP_201_ASH026,2,Echeneidae,Echeneis,naucrates
FP_201_ASH026,1,Lethrinidae,Gymnocranius,grandoculis
FP_201_ASH026,2,Lethrinidae,Lethrinus,amboinensis
FP_201_ASH026,10,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH026,2,Lutjanidae,Aprion,virescens
FP_201_ASH026,1,Myliobatidae,Aetobatus,narinari
FP_201_ASH026,1,Serranidae,Variola,albimarginata
FP_201_ASH027,1,Carangidae,Caranx,ignobilis
FP_201_ASH027,1,Carangidae,Caranx,melampygus
FP_201_ASH027,1,Carangidae,Scomberoides,lysan
FP_201_ASH027,3,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH027,1,Carcharhinidae,Triaenodon,obesus
FP_201_ASH027,1,Cheloniidae,Chelonia,mydas
FP_201_ASH027,1,Echeneidae,Echeneis,naucrates
FP_201_ASH027,1,Lethrinidae,Gymnocranius,grandoculis
FP_201_ASH027,1,Lethrinidae,Lethrinus,atkinsoni
FP_201_ASH027,3,Lethrinidae,Lethrinus,xanthochilus
FP_201_ASH027,1,Lutjanidae,Aprion,virescens
FP_201_ASH027,1,Lutjanidae,Lutjanus,bohar
FP_201_ASH027,2,Lutjanidae,Lutjanus,decussatus
FP_201_ASH027,3,Lutjanidae,Lutjanus,gibbus
FP_201_ASH027,1,Scombridae,Gymnosarda,unicolor
FP_201_ASH027,1,Scombridae,Scomberomorus,commerson
FP_201_ASH027,1,Serranidae,,sp
FP_201_ASH027,4,Serranidae,Variola,albimarginata
FP_201_ASH028,1,Carangidae,Carangoides,ferdau
FP_201_ASH028,1,Carangidae,Carangoides,orthogrammus
FP_201_ASH028,2,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH028,1,Lethrinidae,Gymnocranius,grandoculis
FP_201_ASH028,9,Lethrinidae,Lethrinus,amboinensis
FP_201_ASH028,1,Lutjanidae,Aprion,virescens
FP_201_ASH028,1,Scombridae,Scomberomorus,queenslandicus
FP_201_ASH037,2,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH037,1,Dasyatidae,Taeniurops,meyeni
FP_201_ASH037,1,Echeneidae,Echeneis,naucrates
FP_201_ASH037,1,Haemulidae,Plectorhinchus,chaetodonoides
FP_201_ASH037,1,Lethrinidae,Lethrinus,microdon
FP_201_ASH037,1,Lethrinidae,Monotaxis,grandoculis
FP_201_ASH037,2,Lutjanidae,Aprion,virescens
FP_201_ASH037,3,Lutjanidae,Lutjanus,bohar
FP_201_ASH037,1,Rhinidae,Rhynchobatus,australiae
FP_201_ASH037,1,Serranidae,Aethaloperca,rogaa
FP_201_ASH037,1,Serranidae,Cephalopholis,argus
FP_201_ASH037,4,Serranidae,Cephalopholis,urodeta
FP_201_ASH037,2,Serranidae,Plectropomus,laevis
FP_201_ASH037,1,Serranidae,Variola,louti
FP_201_ASH038,2,Carangidae,Atule,mate
FP_201_ASH038,10,Carangidae,Carangoides,orthogrammus
FP_201_ASH038,1,Carangidae,Carangoides,plagiotaenia
FP_201_ASH038,3,Carangidae,Caranx,melampygus
FP_201_ASH038,1,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH038,1,Dasyatidae,Himantura,granulata
FP_201_ASH038,2,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH038,1,Lethrinidae,Monotaxis,grandoculis
FP_201_ASH038,5,Lutjanidae,Lutjanus,bohar
FP_201_ASH038,2,Lutjanidae,Lutjanus,decussatus
FP_201_ASH038,4,Lutjanidae,Lutjanus,gibbus
FP_201_ASH038,3,Lutjanidae,Macolor,sp
FP_201_ASH038,1,Serranidae,Aethaloperca,rogaa
FP_201_ASH038,1,Serranidae,Cephalopholis,argus
FP_201_ASH038,1,Serranidae,Cephalopholis,urodeta
FP_201_ASH038,1,Serranidae,Plectropomus,sp
FP_201_ASH038,1,Sphyraenidae,Sphyraena,barracuda
FP_201_ASH045,2,Carangidae,Carangoides,fulvoguttatus
FP_201_ASH045,1,Carangidae,Caranx,ignobilis
FP_201_ASH045,4,Carangidae,Caranx,melampygus
FP_201_ASH045,1,Carangidae,Gnathanodon,speciosus
FP_201_ASH045,1,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH045,1,Ginglymostomatidae,Nebrius,ferrugineus
FP_201_ASH045,1,Lethrinidae,Lethrinus,microdon
FP_201_ASH045,1,Lethrinidae,Lethrinus,obsoletus
FP_201_ASH045,2,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH045,1,Lethrinidae,Monotaxis,grandoculis
FP_201_ASH045,1,Lutjanidae,Aprion,virescens
FP_201_ASH045,1,Lutjanidae,Lutjanus,bohar
FP_201_ASH045,2,Lutjanidae,Lutjanus,decussatus
FP_201_ASH045,1,Lutjanidae,Lutjanus,vitta
FP_201_ASH045,1,Serranidae,Cephalopholis,urodeta
FP_201_ASH045,1,Serranidae,Epinephelus,fuscoguttatus
FP_201_ASH045,1,Serranidae,Variola,albimarginata
FP_201_ASH045,1,Stegostomatidae,Stegostoma,fasciatum
FP_201_ASH040,1,Carangidae,Carangoides,orthogrammus
FP_201_ASH040,2,Carangidae,Caranx,melampygus
FP_201_ASH040,1,Lethrinidae,Gymnocranius,grandoculis
FP_201_ASH040,3,Lethrinidae,Lethrinus,amboinensis
FP_201_ASH040,10,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH040,1,Lutjanidae,Aprion,virescens
FP_201_ASH047,1,Carangidae,Carangoides,orthogrammus
FP_201_ASH047,1,Carangidae,Caranx,melampygus
FP_201_ASH047,1,Carangidae,Scomberoides,lysan
FP_201_ASH047,1,Dasyatidae,Dasyatis,sp
FP_201_ASH047,1,Dasyatidae,Pastinachus,sephen
FP_201_ASH047,2,Sphyraenidae,Sphyraena,barracuda
FP_201_ASH035,4,Carangidae,Carangoides,orthogrammus
FP_201_ASH035,1,Carangidae,Caranx,ignobilis
FP_201_ASH035,3,Carangidae,Caranx,melampygus
FP_201_ASH035,1,Carangidae,Scomberoides,lysan
FP_201_ASH035,1,Cheloniidae,,sp
FP_201_ASH035,4,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH035,2,Lutjanidae,Lutjanus,bohar
FP_201_ASH035,3,Lutjanidae,Lutjanus,decussatus
FP_201_ASH035,1,Serranidae,Cephalopholis,sp
FP_201_ASH035,1,Serranidae,Variola,albimarginata
FP_201_ASH036,1,,,
FP_201_ASH036,1,Carangidae,Carangoides,orthogrammus
FP_201_ASH036,5,Carangidae,Caranx,melampygus
FP_201_ASH036,2,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH036,2,Carcharhinidae,Triaenodon,obesus
FP_201_ASH036,1,Cheloniidae,Eretmochelys,imbricata
FP_201_ASH036,1,Lethrinidae,Lethrinus,atkinsoni
FP_201_ASH036,10,Lethrinidae,Lethrinus,microdon
FP_201_ASH036,1,Lutjanidae,Aprion,virescens
FP_201_ASH036,18,Lutjanidae,Lutjanus,bohar
FP_201_ASH036,2,Lutjanidae,Lutjanus,decussatus
FP_201_ASH036,2,Lutjanidae,Lutjanus,rivulatus
FP_201_ASH036,1,Lutjanidae,Macolor,sp
FP_201_ASH036,1,Serranidae,Aethaloperca,rogaa
FP_201_ASH036,2,Serranidae,Cephalopholis,argus
FP_201_ASH036,2,Serranidae,Cephalopholis,urodeta
FP_201_ASH036,1,Serranidae,Epinephelus,fasciatus
FP_201_ASH036,1,Serranidae,Variola,louti
FP_201_ASH036,1,Stegostomatidae,Stegostoma,fasciatum
FP_201_ASH056,3,Carangidae,Carangoides,orthogrammus
FP_201_ASH056,1,Carangidae,Caranx,melampygus
FP_201_ASH056,3,Carangidae,Gnathanodon,speciosus
FP_201_ASH056,1,Carcharhinidae,Triaenodon,obesus
FP_201_ASH056,1,Cheloniidae,,sp
FP_201_ASH056,1,Dasyatidae,Himantura,fai
FP_201_ASH056,3,Lethrinidae,Lethrinus,microdon
FP_201_ASH056,1,Lethrinidae,Monotaxis,grandoculis
FP_201_ASH056,3,Lutjanidae,Lutjanus,bohar
FP_201_ASH056,3,Lutjanidae,Lutjanus,decussatus
FP_201_ASH056,2,Lutjanidae,Lutjanus,quinquelineatus
FP_201_ASH056,1,Muraenidae,Gymnothorax,sp
FP_201_ASH056,1,Serranidae,Cephalopholis,urodeta
FP_201_ASH056,1,Serranidae,Plectropomus,laevis
FP_201_ASH056,2,Serranidae,Plectropomus,maculatus
FP_201_ASH065,1,Carangidae,Carangoides,ferdau
FP_201_ASH065,2,Carangidae,Carangoides,orthogrammus
FP_201_ASH065,2,Carangidae,Carangoides,plagiotaenia
FP_201_ASH065,7,Carangidae,Caranx,melampygus
FP_201_ASH065,1,Carangidae,Gnathanodon,speciosus
FP_201_ASH065,1,Carangidae,Scomberoides,lysan
FP_201_ASH065,1,Carcharhinidae,Triaenodon,obesus
FP_201_ASH065,1,Dasyatidae,Dasyatis,kuhlii
FP_201_ASH065,1,Echeneidae,Echeneis,naucrates
FP_201_ASH065,1,Lethrinidae,Gymnocranius,grandoculis
FP_201_ASH065,1,Lethrinidae,Lethrinus,microdon
FP_201_ASH065,2,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH065,1,Lutjanidae,Aprion,virescens
FP_201_ASH065,3,Lutjanidae,Lutjanus,bohar
FP_201_ASH065,1,Serranidae,Plectropomus,laevis
FP_201_ASH088,6,Carangidae,Caranx,ignobilis
FP_201_ASH088,2,Carangidae,Gnathanodon,speciosus
FP_201_ASH088,1,Carcharhinidae,Galeocerdo,cuvier
FP_201_ASH088,2,Echeneidae,Echeneis,naucrates
FP_201_ASH088,1,Rachycentridae,Rachycentron,canadum
FP_201_ASH088,1,Rhinidae,Rhynchobatus,
FP_201_ASH088,1,Stegostomatidae,Stegostoma,fasciatum
FP_201_ASH085,1,,,
FP_201_ASH085,1,Carangidae,Atule,mate
FP_201_ASH085,1,Carangidae,Caranx,ignobilis
FP_201_ASH085,1,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH085,1,Hemigaleidae,Hemipristis,elongata
FP_201_ASH085,6,Lethrinidae,Gymnocranius,grandoculis
FP_201_ASH085,1,Lutjanidae,Symphorus,nematophorus
FP_201_ASH085,1,Sphyraenidae,Sphyraena,barracuda
FP_201_ASH112,1,Carangidae,Carangoides,orthogrammus
FP_201_ASH112,1,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH112,2,Lethrinidae,Gymnocranius,grandoculis
FP_201_ASH112,2,Lethrinidae,Lethrinus,microdon
FP_201_ASH112,2,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH112,2,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH112,2,Lutjanidae,Aprion,virescens
FP_201_ASH112,1,Lutjanidae,Lutjanus,bohar
FP_201_ASH105,1,Echeneidae,Echeneis,naucrates
FP_201_ASH105,9,Lutjanidae,Lutjanus,vitta
FP_201_ASH108,2,Carangidae,Carangoides,gymnostethus
FP_201_ASH108,2,Carangidae,Carangoides,orthogrammus
FP_201_ASH108,1,Carangidae,Caranx,melampygus
FP_201_ASH108,8,Lethrinidae,Gymnocranius,grandoculis
FP_201_ASH108,3,Lethrinidae,Lethrinus,microdon
FP_201_ASH108,3,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH108,2,Lutjanidae,Aprion,virescens
FP_201_ASH108,1,Scombridae,Scomberomorus,commerson
FP_201_ASH064,1,Carangidae,Carangoides,orthogrammus
FP_201_ASH064,1,Carangidae,Caranx,melampygus
FP_201_ASH064,1,Carcharhinidae,Triaenodon,obesus
FP_201_ASH064,1,Cirrhitidae,Paracirrhites,forsteri
FP_201_ASH064,3,Labridae,Halichoeres,hortulanus
FP_201_ASH064,1,Lethrinidae,Lethrinus,microdon
FP_201_ASH064,1,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH064,2,Lethrinidae,Lethrinus,ravus
FP_201_ASH064,3,Lutjanidae,Lutjanus,bohar
FP_201_ASH064,4,Lutjanidae,Lutjanus,decussatus
FP_201_ASH064,1,Lutjanidae,Lutjanus,gibbus
FP_201_ASH064,1,Lutjanidae,Lutjanus,rivulatus
FP_201_ASH064,1,Serranidae,Aethaloperca,rogaa
FP_201_ASH064,2,Serranidae,Cephalopholis,argus
FP_201_ASH064,2,Serranidae,Cephalopholis,urodeta
FP_201_ASH064,1,Serranidae,Epinephelus,fuscoguttatus
FP_201_ASH064,1,Serranidae,Variola,albimarginata
FP_201_ASH062,12,Carangidae,Carangoides,orthogrammus
FP_201_ASH062,1,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH062,1,Dasyatidae,Pastinachus,sephen
FP_201_ASH062,1,Echeneidae,Echeneis,naucrates
FP_201_ASH062,1,Lethrinidae,Lethrinus,microdon
FP_201_ASH062,2,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH062,4,Lutjanidae,Lutjanus,bohar
FP_201_ASH062,1,Rhinidae,Rhynchobatus,
FP_201_ASH062,1,Rhinidae,Rhynchobatus,australiae
FP_201_ASH062,1,Rhynchobatidae,Rhynchobatus,laevis
FP_201_ASH062,1,Serranidae,Epinephelus,polyphekadion
FP_201_ASH051,1,Carangidae,Carangoides,orthogrammus
FP_201_ASH051,1,Carangidae,Caranx,ignobilis
FP_201_ASH051,1,Carangidae,Caranx,melampygus
FP_201_ASH051,1,Ginglymostomatidae,Nebrius,ferrugineus
FP_201_ASH051,1,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH051,1,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH061,1,Carangidae,Carangoides,ferdau
FP_201_ASH061,1,Carangidae,Carangoides,plagiotaenia
FP_201_ASH061,1,Carangidae,Caranx,ignobilis
FP_201_ASH061,4,Carangidae,Caranx,melampygus
FP_201_ASH061,1,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH061,1,Cirrhitidae,Paracirrhites,forsteri
